boston
6092a032351d76d6aace89d4467bac17e09b52ce
Boston (pronounced /ˈbɒstən/) is the capital and largest city of the Commonwealth of Massachusetts in the United States. Boston also served as the historic county seat of Suffolk County until Massachusetts disbanded county government in 1999. The city proper covers 48 square miles (124 km2) with an estimated population of 655,884 in 2014, making it the largest city in New England and the 24th largest city in the United States. The city is the economic and cultural anchor of a substantially larger metropolitan area called Greater Boston, home to 4.7 million people and the tenth-largest metropolitan statistical area in the country. Greater Boston as a commuting region is home to 8.1 million people, making it the sixth-largest combined statistical area in the United States.
PRINTMAP boston
http://www.ranker.com/list/7-tv-actors-who-turned-out-just-like-their-characters/carly-kiel?ref=rltdlsts&pos=11&a=13&ltype=l&l=1871396&g=2 => 8.57706331939901
http://www.ranker.com/review/judy-garland/1331292?ref=name_646277 => 8.57776136873017
https://www.washingtonpost.com/news/to-your-health/wp/2015/05/31/brain-cancers-like-beau-bidens-kill-about-15000-adults-each-year/ => 8.582134923184164
http://www.ranker.com/review/fringe/9498131?ref=name_1450114 => 8.582465190082118
http://projects.newsday.com/video/focus-long-island/ => 8.583178272295457
http://www.ranker.com/review/kerry-washington/1365611?ref=name_1852082 => 8.585511831032699
http://muse.jhu.edu/books/9780813126210/ => 8.586823576110065
https://archive.is/20120527030747/http://www.snopes.com/history/american/bushscan.asp => 8.588045382579402
http://www.ranker.com/list/famous-people-from-new-york-city/reference?ref=fact_based&pos=&a=0&lt=n&l=1461689 => 8.59172982800412
http://www.ranker.com/list/famous-people-from-new-york-city/reference?ref=fact_based&pos=&a=0&lt=n&l=853205 => 8.59176543560516
http://www.ranker.com/list/famous-people-from-wisconsin/reference?ref=fact_based&pos=&a=0&lt=n&l=1527915 => 8.601929364100263
http://www.amazon.co.uk/exec/obidos/ASIN/1465446079/richardpettin-21 => 8.611356692884934
http://www.ranker.com/list/famous-people-whose-last-name-is-warren/chris-abraham?ref=also_ranked&pos=7&a=0&ltype=np&l=2320616&g=2 => 8.612517241730263
http://www.biographyonline.net/women/sojourner-truth-biography.html => 8.622255106041024
http://www.ranker.com/review/tom-selleck/2259033?ref=name_1929237 => 8.62543464155595
http://www.ranker.com/review/tom-selleck/2259033?ref=name_593269 => 8.625959998841518
http://www.washingtontimes.com/news/2014/dec/31/george-washingtons-views-political-parties-america/ => 8.626832169610442
http://www.huffingtonpost.com/entry/sea-level-climate-migrants-united-states_us_591a9e93e4b0809be157a253?ncid=tweetlnkushpmg00000016&section=politics&section=us_theworldpost => 8.628872209988256
http://www.irishtimes.com/newspaper/opinion/2011/0526/1224297786166.html => 8.633159448845706
http://www.ranker.com/list/celebrities-accused-of-horrible-crimes/celebrity-lists => 8.64789016446276
http://fashionablefrolick.blogspot.com/2011/05/novel-beginnings-real-anne-of-green.html => 8.648979374245924
https://pro-labs.imdb.com/name/nm1654864/ => 8.651180767798932
http://bloomsbury.com/us/white-rage-9781632864123/ => 8.666875283952127
http://www.washingtontimes.com/news/2013/jan/10/inside-politics-obama-signs-protection-bill-for-fo/?page=all => 8.668642475022654
http://www.ranker.com/list/us-presidents-with-problem-children/stephanroget?ref=also_ranked&pos=46&a=0&ltype=n&l=2565023&g=2 => 8.670246118085737
https://www.facebook.com/chicagosocialists/?ref=py_c => 8.681139745299541
http://www.pbs.org/wgbh/frontline/about-us/our-funders/ => 8.681919498760518
http://www.ranker.com/list/presidents-and-vice-presidents-who-hated-each-other/philgibbons?ref=collections&pos=23&ltype=l&l=2098399&g=2&collectionId=1744 => 8.69080365969262
http://en.wikipedia.org/wiki/Samm_Levine => 8.693113787988796
http://www.ranker.com/review/mitt-romney/1600673?ref=name_2214780 => 8.694822414292936
http://www.ranker.com/list/young-james-spader-pictures/cari-fortier?ref=collections&pos=31&ltype=l&l=2004770&g=2&collectionId=701 => 8.70733131290213
http://www.ranker.com/list/young-james-spader-pictures/cari-fortier?ref=collections&pos=31&ltype=l&l=2004716&g=2&collectionId=701 => 8.707406370469755
http://www.ranker.com/list/young-james-spader-pictures/cari-fortier?ref=collections&pos=31&ltype=l&l=2004774&g=2&collectionId=701 => 8.707443910629374
https://www.nytimes.com/2009/03/10/science/10lab.html => 8.717746076514578
http://harvardcrcl.org/2011/10/ => 8.717984152989509
http://www.ranker.com/review/will-arnett/2399334?ref=name_1684508 => 8.737033517363345
http://www.philly.com/philly/obituaries/donald-beckman-85-distinguished-lawyer-and-volunteer-20170601.html => 8.737427758350433
http://uproxx.com/life/breakfast-cereals-ranked/ => 8.738042564656947
http://www.ranker.com/list/notable-film-producer_s)/reference?ref=fact_based&pos=&a=0&lt=n&l=421786 => 8.739100909798873
https://books.google.com/books?id=lifQ0G0m9WwC => 8.739366367006953
http://www.bostonglobe.com/ideas/2016/09/03/the-kingmaker-club/aJUUREhSs4AdGNlQxGgoVK/story.html?utm_content=buffer35115&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer => 8.74311980846074
http://www.ranker.com/list/allegedly-gay-scientologists/celebrity-lists?ref=rltdlsts&pos=3&a=4&ltype=l&l=283358&g=2 => 8.74708163453734
http://www.ranker.com/list/famous-people-with-aspergers-syndrome/celebrity-lists?ref=rltdlsts&pos=12&a=40&ltype=l&l=2046269&g=2 => 8.75074652710065
http://spoti.fi/2a9seBC => 8.75239117871161
http://www.ranker.com/list/famous-people-who-majored-in-english-language/reference?ref=fact_based&pos=&a=0&lt=n&l=2247743 => 8.760323515013297
http://www.poynter.org/column.asp?id=45 => 8.761404045711554
http://runningtimes.com/Article.aspx?ArticleID=5518&PageNum=1 => 8.767497353395637
http://www.ranker.com/list/women-who-timothy-hutton-has-dated/celebrityhookups?ref=fact_based&pos=&a=0&lt=n&l=853205 => 8.767750803743652
http://www.realitytvworld.com/therealworld/ => 8.804695101642128
https://www.whitehouse.gov/1600/presidents/jamesmonroe => 8.805473381297592
http://www.ranker.com/list/funny-deadpool-comics-moments/brian-gilmore?ref=rltdlsts&pos=17&a=16&ltype=l&l=388515&g=2 => 8.809281945168095
http://www.ranker.com/list/funny-deadpool-comics-moments/brian-gilmore?ref=rltdlsts&pos=15&a=16&ltype=l&l=398850&g=2 => 8.809403863925356
http://www.ranker.com/list/funny-deadpool-comics-moments/brian-gilmore?ref=rltdlsts&pos=1&a=8&ltype=l&l=2148856&g=2 => 8.80952584549496
http://www.ranker.com/list/funny-deadpool-comics-moments/brian-gilmore?ref=collections&pos=10&ltype=l&l=2248459&g=2&collectionId=655 => 8.809892167563614
http://www.ranker.com/list/funny-deadpool-comics-moments/brian-gilmore?ref=rltdlsts&pos=1&a=8&ltype=l&l=2248459&g=2 => 8.809953276337216
http://www.ranker.com/list/legal-drama-tv-shows-and-series/reference?ref=collections&pos=2&ltype=l&l=2084694&g=2&collectionId=1423 => 8.812719573530236
http://www.ranker.com/list/illuminati-presidents/mike-rothschild?ref=also_ranked&pos=28&a=0&ltype=n&l=2191343&g=2 => 8.825545582702897
http://www.aci.aero/Data-Centre/Annual-Traffic-Data/Movements/2010-final => 8.833968800885373
http://www.ranker.com/list/modern-renaissance-man-list/mike-rothschild?ref=text_rank&pos=8&a=0&ltype=n&l=873388 => 8.836409457758354
http://www.ranker.com/list/us-presidents-with-problem-children/stephanroget?ref=also_ranked&pos=68&a=0&ltype=n&l=2565023&g=2 => 8.837091668535283
